	0
0	NSE/SPHEREGSL
1	NSE/PKTEA
2	NSE/COFFEEDAY
3	NSE/GOCLCORP
4	NSE/INDIGO
5	NSE/SHK
6	NSE/IDFCBANK
7	NSE/SETFGOLD
8	NSE/SETFNIF50
9	NSE/SETFNIFBK
10	NSE/AIFL
11	NSE/SALZERELEC
12	NSE/TTKHLTCARE
13	NSE/UMANGDAIRY
14	NSE/KRIDHANINF
15	NSE/ANANDAMRUB
16	NSE/LUXIND
17	NSE/HDFCNIFETF
18	NSE/LINCOLN
19	NSE/KOTAKNV20
20	NSE/20MICRONS
21	NSE/3IINFOTECH
22	NSE/3MINDIA
23	NSE/AARTIDRUGS
24	NSE/AARTIIND
25	NSE/AARVEEDEN
26	NSE/ABAN
27	NSE/ABB
28	NSE/ABBOTINDIA
29	NSE/ABGSHIP
30	NSE/ABIRLANUVO
31	NSE/ACC
32	NSE/ACE
33	NSE/ADANIENT
34	NSE/ADANIPOWER
35	NSE/ADFFOODS
36	NSE/ADHUNIK
37	NSE/ADORWELD
38	NSE/ADSL
39	NSE/ADVANIHOTR
40	NSE/ADVANTA
41	NSE/AEGISCHEM
42	NSE/AFL
43	NSE/AGCNET
44	NSE/AGRODUTCH
45	NSE/AHLEAST
46	NSE/AHLUCONT
47	NSE/AHLWEST
48	NSE/AIAENG
49	NSE/AJANTPHARM
50	NSE/AJMERA
51	NSE/AKSHOPTFBR
52	NSE/AKZOINDIA
53	NSE/ALBK
54	NSE/ALCHEM
55	NSE/ALEMBICLTD
56	NSE/ALKALI
57	NSE/ALKYLAMINE
58	NSE/ALLCARGO
59	NSE/ALLSEC
60	NSE/ALMONDZ
61	NSE/ALOKTEXT
62	NSE/ALPHAGEO
63	NSE/AMARAJABAT
64	NSE/AMBIKCO
65	NSE/AMBUJACEM
66	NSE/AMDIND
67	NSE/AMRUTANJAN
68	NSE/AMTEKAUTO
69	NSE/ANANTRAJ
70	NSE/ANDHRABANK
71	NSE/ANDHRSUGAR
72	NSE/ANGIND
73	NSE/ANSALAPI
74	NSE/ANSALHSG
75	NSE/APARINDS
76	NSE/APCOTEXIND
77	NSE/APLLTD
78	NSE/APOLLOHOSP
79	NSE/APOLLOTYRE
80	NSE/APTECHT
81	NSE/ARCHIES
82	NSE/ARIES
83	NSE/ARIHANT
84	NSE/AROGRANITE
85	NSE/ARROWTEX
86	NSE/ARSHIYA
87	NSE/ARSSINFRA
88	NSE/ARVIND
89	NSE/ASAHIINDIA
90	NSE/ASAHISONG
91	NSE/ASAL
92	NSE/ASHAPURMIN
93	NSE/ASHIANA
94	NSE/ASHIMASYN
95	NSE/ASHOKA
96	NSE/ASHOKLEY
97	NSE/ASIANHOTNR
98	NSE/ASIANPAINT
99	NSE/ASIANTILES
